Date,Order Ref. / Order Valid Date / Channel,Exch,Stock,Buy/Sell,Qty,Price,Status,Open,Executed,Cancelled,Expired,Margin Amt. Blocked,Discl. Qty,Stop Loss Price,Segment /  Settl.
3/11/2022 15:21,20220311N800043780,NSE,NIITEC,Buy,1,4295.95,Executed,0,1,0,0,0,0,0,Rolling/2022048
3/11/2022 15:21,20220311N800043776,NSE,CDSL,Sell,3,1508.8,Executed,0,3,0,0,0,0,0,Rolling/2022048
3/11/2022 15:21,20220311N800043759,NSE,AVESUP,Buy,2,4197.2,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 15:02,20220311N800040954,NSE,PIDIND,Sell,2,2337.9,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 15:01,20220311N800040899,NSE,AVESUP,Sell,2,4197,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 14:44,20220311N800038958,NSE,AVESUP,Sell,3,4197,Executed,0,3,0,0,0,0,0,Rolling/2022048
3/11/2022 9:35,20220311N800007961,NSE,HINDAL,Sell,2,620,Cancelled,0,0,2,0,0,0,0,Rolling/2022048
3/11/2022 9:34,20220311N800007834,NSE,HINDAL,Buy,2,599.5,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 9:33,20220311N800007536,NSE,NIITEC,Sell,1,4280,Executed,0,1,0,0,0,0,0,Rolling/2022048
3/11/2022 9:31,20220311N800007130,NSE,PIDIND,Buy,2,2334.35,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 9:30,20220311N800006733,NSE,AVESUP,Buy,3,4143.85,Executed,0,3,0,0,0,0,0,Rolling/2022048
3/11/2022 9:29,20220311N800006644,NSE,AVESUP,Buy,2,4140,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 9:26,20220311N800005959,NSE,VEDLIM,Buy,2,384.2,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 9:24,20220311N800005362,NSE,CDSL,Buy,3,1536,Executed,0,3,0,0,0,0,0,Rolling/2022048
3/11/2022 9:18,20220311N800003873,NSE,PIDIND,Buy,2,2300,Cancelled,0,0,2,0,0,0,0,Rolling/2022048
3/11/2022 9:16,20220311N800003302,NSE,AFFIND,Sell,2,1247,Executed,0,2,0,0,0,0,0,Rolling/2022048
